cycle_len	chain_qids	cut_parent	cut_child	reason	confidence
8	Q139560 -> Q73458 -> Q73311 -> Q73146 -> Q72984 -> Q72834 -> Q141414 -> Q139559 -> Q139560	Q73311 (Lucius Caecilius Metellus Denter)	Q73146 (Lucius Caecilius Metellus)	homonym_adjacent: endpoints share part of a name but not all of it (88% similar: 'Lucius Caecilius Metellus Denter' / 'Lucius Caecilius Metellus'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error [this edge appears in 2 of the 71 listed cycles]	low
9	Q138403 -> Q139560 -> Q73458 -> Q73311 -> Q73146 -> Q72984 -> Q72858 -> Q139550 -> Q138399 -> Q138403	Q72858 (Quintus Caecilius Metellus Macedonicus)	Q139550 (Quintus Caecilius Metellus Balearicus)	homonym_adjacent: endpoints share part of a name but not all of it (88% similar: 'Quintus Caecilius Metellus Macedonicus' / 'Quintus Caecilius Metellus Balearicus'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | recorded birth 200 (Quintus Caecilius Metellus Macedonicus) is not before recorded birth 200 (Quintus Caecilius Metellus Balearicus) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone | Quintus Caecilius Metellus Macedonicus born no earlier than 257 (from Quintus Caecilius Metellus b.+0245, 1 generation(s) up); Quintus Caecilius Metellus Balearicus born no later than 34 (from Caecilia Metella, 3 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction	low
10	Q87846 -> Q87844 -> Q87842 -> Q87840 -> Q6421 -> Q87856 -> Q87854 -> Q87852 -> Q87850 -> Q87848 -> Q87846			unresolved: no evidence separates the 10 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
6	Q74698 -> Q75225 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698			unresolved: no evidence separates the 6 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
7	Q74698 -> Q74677 -> Q75039 -> Q90576 -> Q74973 -> Q130077 -> Q131114 -> Q74698			unresolved: no evidence separates the 7 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
5	Q90576 -> Q74973 -> Q130061 -> Q131030 -> Q132283 -> Q90576			unresolved: no evidence separates the 5 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
3	Q74973 -> Q130061 -> Q131024 -> Q74973			unresolved: no evidence separates the 3 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
7	Q171493 -> Q171595 -> Q171604 -> Q171614 -> Q171622 -> Q171636 -> Q171648 -> Q171493	Q171595 (Rangacharya Jatavallabha (Jatavallabha award by Maha)	Q171604 (Venkatacharya Jatavallabha (Jatavallabha award by Maha)	homonym_adjacent: endpoints share part of a name but not all of it (92% similar: 'Rangacharya Jatavallabha (Jatavallabha award by Maha' / 'Venkatacharya Jatavallabha (Jatavallabha award by Maha'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
2	Q18066 -> Q32705 -> Q18066			unresolved: 2-node cycle (Nagano Norinari <-> 長野尚業) — mutual parenthood is impossible, but labels are only 0% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q73323 -> Q73470 -> Q73323	Q73323 (Titus Manlius Torquatus)	Q73470 (Titus Manlius Torquatus)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Titus Manlius Torquatus') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
2	Q73470 -> Q99410 -> Q73470			unresolved: 2-node cycle (Titus Manlius Torquatus <-> Q99410) — mutual parenthood is impossible, but labels are only 0% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q70988 -> Q139601 -> Q70988	Q70988 (Lucius Scribonius Libo Drusus)	Q139601 (Marcus Livius Drusus Libo)	date_ambiguous_era: recorded birth 90 (Lucius Scribonius Libo Drusus) is not before recorded birth 1 (Marcus Livius Drusus Libo) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone | Lucius Scribonius Libo Drusus born no earlier than 162 (from Lucius Scribonius Libo b.+0150, 1 generation(s) up); Marcus Livius Drusus Libo born no later than -23 (from Lucius Arruntius Camillus Scribonianus, 2 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction	low
5	Q78752 -> Q73970 -> Q73887 -> Q73782 -> Q78812 -> Q78752	Q73970 (Appius Claudius Crassus Inregillensis)	Q73887 (Gaius Claudius Crassus Inrelligensis)	homonym_adjacent: endpoints share part of a name but not all of it (90% similar: 'Appius Claudius Crassus Inregillensis' / 'Gaius Claudius Crassus Inrelligensis'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | Appius Claudius Crassus Inregillensis born no earlier than 586 (from Appius Claudius Crassus Inregillensis Sabinus b.+0550, 3 generation(s) up); Gaius Claudius Crassus Inrelligensis born no later than 288 (from Appius Claudius Caudex, 1 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction	low
2	Q78501 -> Q78615 -> Q78501	Q78501 (Marcus Valerius)	Q78615 (Manius Valerius)	homonym_adjacent: endpoints share part of a name but not all of it (87% similar: 'Marcus Valerius' / 'Manius Valerius'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
8	Q73710 -> Q73599 -> Q73479 -> Q73332 -> Q73170 -> Q73985 -> Q73910 -> Q73812 -> Q73710	Q73910 (Gaius Servilius)	Q73812 (Gaius Servilius)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Gaius Servilius') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix	high
2	Q70388 -> Q69886 -> Q70388	Q69886 (Publius Aelius Marullinus)	Q70388 (Publius Aelius Marullinus)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Publius Aelius Marullinus') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
3	Q135467 -> Q73925 -> Q73824 -> Q135467	Q73824 (Agathocles of Pella)	Q135467 (Alcimachus of Apollonia)	date_ambiguous_era: recorded birth 400 (Agathocles of Pella) is not before recorded birth 400 (Alcimachus of Apollonia) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone	low
3	Q91134 -> Q86617 -> Q86607 -> Q91134	Q86617 (Shila Ish Kfar Temarta)	Q86607 (Acha Ish Kfar Temarta)	homonym_adjacent: endpoints share part of a name but not all of it (88% similar: 'Shila Ish Kfar Temarta' / 'Acha Ish Kfar Temarta'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error	low
2	Q78507 -> Q78384 -> Q78507	Q78384 (Marcus Granius)	Q78507 (Marcus Granius)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Marcus Granius') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
4	Q160965 -> Q160946 -> Q160928 -> Q160981 -> Q160965			unresolved: no evidence separates the 4 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
2	Q73167 -> Q73005 -> Q73167			unresolved: 2-node cycle (Marcus Porcius Censorius <-> Cato the Elder) — mutual parenthood is impossible, but labels are only 11% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q73653 -> Q73530 -> Q73653			unresolved: 2-node cycle (Cassus Curvus <-> Marcus Flaccus) — mutual parenthood is impossible, but labels are only 52% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q73872 -> Q73958 -> Q73872	Q73872 (Lucius Fulvius Curvus)	Q73958 (Lucius Fulvius, II)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Lucius Fulvius Curvus' / 'Lucius Fulvius, II'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
