qid	label	sex	birth	death	gedcom	wikidata_qid	geni_id
Q37825	Princess Jangnyeong	Q153719				Q12614386	
Q37827	内藤忠興の娘 (本堂親栄の正室)	Q153719				Q113244817	
Q37828	Regula  Neukomm	Q153719			Regula /Neukomm/		
Q37829	Wang Seok-Gi	Q153718	+1341-01-01T00:00:00Z	+1375-01-01T00:00:00Z		Q18052753	
Q37832	Sunjeong	Q153719				Q17278274	
Q37834	Franz  Neukomm	Q153718			Franz /Neukomm/		
Q37836	U of Goryeo	Q153718	+1365-07-25T00:00:00Z	+1389-12-31T00:00:00Z		Q302096	
Q37838	Susanna  Neukomm	Q153719			Susanna /Neukomm/		
Q37841	Wang Toghtua Bukha	Q153718	+1400-01-01T00:00:00Z	+1375-00-00T00:00:00Z		Q4459305	
Q37842	Heinrich  Wyss	Q153718			Heinrich /Wyss/		
Q37845	Wang U	Q153718		+1397-03-23T00:00:00Z		Q12608460	
Q37849	Gongyang of Goryeo	Q153718	+1345-03-09T00:00:00Z	+1394-05-17T00:00:00Z		Q485590	
Q37850	Antonio  Fernandez de Velasco y Osorio	Q153718			Antonio /Fernández de Velasco y Osorio/		
Q37851	徳相院 (阿部正興の正室)	Q153719				Q111257454	
Q37854	Jose  Osorio de Pedroso y Fuentes	Q153718			José /Osorio de Pedroso y Fuentes/		
Q37858	Francisco Jose  de Berrio y Guzman	Q153718			Francisco José /de Berrío y Guzmán/		
Q37859	Abe Masayoshi	Q153718	+1746-06-12T00:00:00Z	+1780-11-20T00:00:00Z		Q10565460	
Q37862	Sebastiana Micaela  de Osorio y de Cervantes Castilla	Q153719			Sebastiana Micaela /de Osorio y de Cervantes Castilla/		
Q37866	Juan Domingo  de Cervantes Casaus	Q153718			Juan Domingo /de Cervantes Casaus/		
Q37870	Juliana  de Cervantes	Q153719			Juliana /de Cervantes/		
Q37874	Ana  de Cervantes	Q153719			Ana /de Cervantes/		
Q37878	Maria  de Cervantes	Q153719			María /de Cervantes/		
Q37882	Gonzalo  Gomez de Cervantes mejia Carvajal	Q153718			Gonzalo /Gomez de Cervantes mejia Carvajal/		
Q37886	Sevastiana Micaela  de Cervantes	Q153719			Sevastiana Micaela /de Cervantes/		
Q37890	Juan  de Cervantes Casaus	Q153718			Juan /de Cervantes Casaus/		
Q37894	Diego  Gomez de Cervantes	Q153718			Diego /Gómez de Cervantes/		
Q37898	Felipe  de Cervantes Casaus	Q153718			Felipe /de Cervantes Casaus/		
Q37899	龍泉院 (板倉重宗の十一女)	Q153719				Q106650403	
Q37902	Jose  de Cervantes Casaus	Q153718			José /de Cervantes Casaus/		
Q37906	Juan Leonel  Gomez de Cervantes y Betanzos	Q153718			Juan Leonel /Gómez de Cervantes y Betanzos/		
Q37910	Francisco Leonel  Gomez de Cervantes	Q153718			Francisco Leonel /Gómez de Cervantes/		
Q37914	Leonel  de Cervantes	Q153718			Leonel /de Cervantes/		
Q37918	Francisca Geronima  de Cervantes y Lopez de Peralta	Q153719			Francisca Gerónima /de Cervantes y López de Peralta/		
Q37922	Ana  de Cervantes y Lopez de Peralta	Q153719			Ana /de Cervantes y López de Peralta/		
Q37926	Francisco  Tello de Guzman	Q153718			Francisco /Tello de Guzmán/		
Q37930	Alonso  Tello de Guzman	Q153718			Alonso /Tello de Guzmán/		
Q37934	Maria  Tello de Guzman	Q153719			María /Tello de Guzmán/		
Q37937	Nijō Nariyuki	Q153718				Q3073063	
Q37938	Josefa  Tello de Guzman	Q153719			Josefa /Tello de Guzmán/		
Q37942	Ines Jacinta  Manrique de Lara y Cuadros	Q153719			Inés Jacinta /Manrique de Lara y Cuadros/		
Q37946	Tomasina  de Velasco y Zuniga	Q153719			Tomasina /de Velasco y Zuniga/		
Q37950	Francisco  de Velasco y Zuniga	Q153718			Francisco /de Velasco y Zuñiga/		
Q37954	Maria  de Velasco y Zuniga	Q153719			María /de Velasco y Zúñiga/		
Q37956	Honda Tadamasa	Q153718				Q109678691	
Q37958	Dn, Juan  Villasenor Orozco Y Patino De Herrera	Q153718			Dn, Juan /Villaseñor Orozco Y Patino De Herrera/		
Q37961	Ōtani Kōshō	Q153718				Q6582191	
Q37962	Francisco  de Villasenor Cervantes y Patino	Q153718			Francisco /de Villaseñor Cervantes y Patiño/		
Q37965	Ōtani Kōei	Q153718				Q6582179	
Q37966	D'na Antonia  De Villasenor y Patino	Q153719					
Q37969	Ōtani Shōshin	Q153718				Q6604760	
Q37970	Private	Q153718					
Q37973	Sanjō Chieko	Q153719				Q11637623	
Q37974	Gonzalo "Alferez Real of Villa de Leon"  de Villasenor y Figueroa	Q153718			Gonzalo "Alferez Real of Villa de Leon" /de Villaseñor y Figueroa/		
Q37978	Jose  de Villasenor Figueroa	Q153718			José /de Villaseñor Figueroa/		6000000020840835043
Q37982	Diego  de Villasenor y Orozco	Q153718			Diego /de Villaseñor y Orozco/		
Q37986	Leonicia  de Villasenor Orozco y Figueroa Banuelos	Q153719			Leonicia /de Villaseñor Orozco y Figueroa Bañuelos/		
Q37990	Jose Leonel  de Cervantes	Q153718			Jose Leonel /de Cervantes/		
Q37993	Yukiko Andō	Q153719				Q112239974	
Q37994	Maria  de Orozco Villasenor	Q153719			Maria /de Orozco Villasenor/		
Q37996	小笠原長隆 (信濃小笠原氏)	Q153718	+1550-00-00T00:00:00Z	+1581-04-00T00:00:00Z		Q20039167	
Q37997	篤仁王	Q153718	+1894-07-09T00:00:00Z	+1894-07-10T00:00:00Z		Q111328777	
Q37998	Pedro  de Villasenor Cervantes	Q153718			Pedro /de Villaseñor Cervantes/		
Q38001	Shigeko Kuroda	Q153719				Q40037593	
Q38002	Francisco  De Orozco y Sotelo	Q153718			Francisco /De Orozco y Sotelo/		
Q38006	Meszullam	Q153718					6000000000961704885
Q38012	Matsudaira Norinaga	Q153718	+1600-02-26T00:00:00Z	+1654-03-19T00:00:00Z		Q6788057	
Q38021	Zhao De Wang	Q153719				Q128842988	
Q38052	Oda Nobuyoshi	Q153718	+1697-00-00T00:00:00Z	+1769-08-25T00:00:00Z		Q11608311	
Q38056	Oda Nobuyoshi	Q153718	+1708-01-01T00:00:00Z	+1787-01-16T00:00:00Z		Q11608326	
Q38060	De Chuan Fang Ji	Q153719				Q109190470	
Q38064	Dao Tian Ran Pu	Q153719				Q109192359	
Q38068	Zhong Shan Ba Zhong Qi	Q153719				Q109244734	
Q38070	Hezekiah	Q153718				Q244912	
Q38072	De Chuan Gui Ji	Q153719				Q134459484	
Q38073	Ying Si Ming Zi	Q153719				Q109669304	
Q38076	De Chuan Bao Ji	Q153719				Q134459580	
Q38078	Amoz	Q153718				Q4748020	
Q38080	Ting Zi Bu	Q153718				Q109236033	
Q38084	Nijō Narinobu	Q153718				Q3341486	
Q38085	Prince Kachō Hiroatsu	Q153718				Q7244109	
Q38089	Kaneko, Yorihito-shinnō-hi	Q153719				Q11385502	
Q38092	Nijō Hiroko	Q153719				Q7141957	
Q38096	Mine-hime	Q153719				Q6998305	
Q38098	Jotham of Judah	Q153718				Q109920	
Q38102	Uzziah	Q153718	+0801-00-00T00:00:00Z	+0733-00-00T00:00:00Z	Uzziah /King of Judah/	Q313216	
Q38104	Matsudaira Yoritoshi	Q153718				Q3387880	
Q38105	Shimazu Tadayoshi	Q153718				Q1005245	
Q38108	Ōkubo Tadanori	Q153718				Q8081574	
Q38109	Shan Qi Shou Man Zi	Q153719				Q105711345	
Q38112	Kyōsho	Q153718				Q3201023	
Q38115	Jehoiada	Q153718				Q2194240	
Q38116	Shinmon Tatsugorō	Q153718				Q11504260	
Q38117	Shimazu Tadashige	Q153718				Q7496849	
Q38120	Chi Tian Heng Zi	Q153719				Q111034625	
Q38121	Tadahiro Shimazu	Q153718				Q11162856	
Q38123	Ahaziah of Judah	Q153718				Q313214	
Q38124	De Chuan Gan Zi	Q153719				Q111034757	
Q38128	Xi Xiang Jing Zi	Q153719				Q111034856	
Q38130	Shimazu Asako	Q153719				Q11162425	
Q38131	Jehoram of Judah	Q153718				Q313215	
Q38132	Chi Tian Qian Zi	Q153719				Q111034870	
Q38134	Kuniaki Kuni	Q153718				Q11369705	
Q38135	Athaliah	Q153719				Q463934	
Q38136	Chi Tian Wen Zi	Q153719				Q111034893	
Q38138	Masako Kuni	Q153719				Q11545415	
Q38139	Eliud  Cohen	Q153718			Eliud /Cohen/		
Q38140	Huang Wei Bo Zheng	Q153718				Q111034903	
Q38142	Noriko Furukawa	Q153719				Q17216167	
Q38143	Achim  Cohen	Q153718			Achim /Cohen/		
Q38144	Hironobu Kachō	Q153718				Q6274866	
Q38146	Ahab	Q153718				Q235901	
Q38147	Hideko Kinoshita	Q153719				Q17224899	
Q38151	Asatake Kuni	Q153718				Q101086192	
Q38152	Ikeda Yoshimasa	Q153718				Q11551892	
Q38154	Omri	Q153718	+0940-00-00T00:00:00Z	+0874-00-00T00:00:00Z	Omri /King of Israel/	Q313221	
Q38155	Hirohito	Q153718				Q34479	
Q38156	Chi Tian Wu Zi	Q153719				Q111018385	
Q38158	Ithobaal I	Q153718	+0915-00-00T00:00:00Z	+0856-00-00T00:00:00Z	Ithobaal I /King of Tyre/	Q1277966	
Q38159	Shigeko Higashikuni	Q153719				Q1030337	
Q38160	Chi Tian Zheng Guang	Q153718				Q111018382	
Q38162	Baal-Eser II "Belus"  King of Tyre	Q153718			Baal-Eser II "Belus" /King of Tyre/		
Q38163	Sachiko, Princess Hisa	Q153719				Q3077388	
Q38166	Mattan I "Belus"  King of Tyre	Q153718			Mattan I "Belus" /King of Tyre/		
Q38167	Kazuko Takatsukasa	Q153719				Q1030373	
Q38170	Dido  Queen of Carthage	Q153718			Dido /Queen of Carthage/		
Q38171	Atsuko Ikeda	Q153719				Q1030348	
Q38174	Pygmalion  King of Tyre	Q153718			Pygmalion /King of Tyre/		
Q38175	Akihito	Q153718				Q37979	
Q38179	Masahito, Prince Hitachi	Q153718				Q725680	
Q38182	Kai A. Konrad	Q153718	+0905-00-00T00:00:00Z	+0849-00-00T00:00:00Z	Jehoshaphat /King of Judah/	Q115029	
Q38183	Takako Shimazu	Q153719				Q467874	
Q38186	Asa of Judah	Q153718			Asa /King of Judah/	Q313415	
Q38187	Ōtani Kōchō	Q153718				Q6604644	
Q38191	Ōtani Kōshō	Q153718				Q6604752	
Q38195	Ōtani Chōjun	Q153718				Q6604704	
Q38198	Abijah of Judah	Q153718			Abijam /King of Judah/	Q273517	
Q38199	Ōtani Chōken	Q153718				Q6604783	
Q38202	Rehoboam	Q153718				Q211663	
Q38203	Kōdō Ōtani	Q153718				Q63958872	
Q38206	Solomon	Q153718	+0990-00-00T00:00:00Z	+0931-00-00T00:00:00Z		Q37085	6000000000961704236
Q38210	Naamah	Q153719				Q865263	
Q38211	Sono Sachiko	Q153719				Q10927473	
Q38214	Hanun \ Zelek  King of Amon	Q153718			Hanun \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ Zelek /King of Amon/		
Q38221	Mo Li Xiao Lu Shang Fang	Q153718				Q109853059	
Q38222	Salmon	Q153718			Salmon /Tribe of Judah/	Q1771358	
Q38225	daughter of Seikanji Hisafusa (wife of Kanshuji Yintaka)	Q153719				Q109860331	
Q38226	Rahab	Q153719			Rahab /Jericho/	Q1135632	
Q38229	Abe Masayoshi	Q153718	+1627-01-01T00:00:00Z	+1685-05-15T00:00:00Z		Q10565452	
Q38230	Nahshon	Q153718		+1312-00-00T00:00:00Z	Nahshon /Tribe of Judah/	Q1784980	
Q38234	Perez	Q153718				Q1814684	
Q38238	Bethuel	Q153718				Q1579827	
