verdict	role	child	child_label	a	a_label	b	b_label	a_wd	b_wd	a_kind	b_kind	shared_parents	shared_spouses
COLLAPSE	father	Q75123	Deimachus	Q75162	Cleon	Q131902	Neleus	Q57911514	Q637955	real	real		
COLLAPSE	father	Q75348	Tithonus	Q74656		Q132332			Q332324	missing	real		
COLLAPSE	mother	Q75573	Anicius Auchenius Bassus	Q75634	Caeionia Auchenia Bassa	Q151955	Turrenia Honorata		Q12297063	real	real		Q75637
COLLAPSE	mother	Q75573	Anicius Auchenius Bassus	Q75634	Caeionia Auchenia Bassa	Q154066	Pincia			real	real		Q75637
COLLAPSE	father	Q76625	Gaius Neratius	Q77083	Gaius Betitius	Q99665	Gaius Betitius Pietas			real	real		
COLLAPSE	father	Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus	Q76930	Lucius Octavius Laenus	Q76933	Sergius Octavius Pontainus			real	real		
COLLAPSE	father	Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus	Q76933	Sergius Octavius Pontainus	Q76936	Octavius Laenas			real	real		
COLLAPSE	father	Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus	Q76933	Sergius Octavius Pontainus	Q76945	Lucius Octavius Laenas			real	real		
COLLAPSE	father	Q77257	Julia	Q77485	Tiberius Julius Lupus	Q77722	Tiberius Julius Lupus	Q11729324	Q30069228	real	real		
COLLAPSE	mother	Q78713	Ptolemy IX Lathyros	Q73035	Cleopatra III of Egypt	Q78402		Q40003		real	missing	Q73038,Q73194	Q73038
COLLAPSE	father	Q86089	Itakayt .	Q86065	Kheperkare Senusret I	Q86147	Khakheperre Senusret II		Q18722	real	real		
COLLAPSE	mother	Q86089	Itakayt .	Q85640	Nefrusheri	Q86159	Itaweret Itaurt of  Egypt			real	real		
COLLAPSE	father	Q86607	Acha  Ish Kfar Temarta	Q86617	Shila  Ish Kfar Temarta	Q91224	Shila  Ish Kfar Temarta			real	real		
COLLAPSE	father	Q87229	Tingtosh Chu  Tsu	Q87241	Liu of the Southern av Hiung  Xiongnu	Q87243	(Hou Yeh) Shih Chu Hou Ti Chu Hou  Ti			real	real		
COLLAPSE	father	Q88819	Boneta  Saltell	Q88733	Bonastrug "Astrug" ca Porta  Saltell	Q88817	"Don Astrug" Saltell  Nassi			real	real		
COLLAPSE	father	Q97109	Husayn	Q96424	Syarif Abdullah Al-Akbar ibnu Syarif Muhammad At-Thaer	Q97799	Sulayman		Q61310624	real	real		
COLLAPSE	father	Q99310	Olybrius	Q60293	Flavius Areobindus Dagalaifus Areobindus	Q62558	Dagalaiphus	Q642469		real	real		
COLLAPSE	mother	Q107162	Ermengol VII, Count of Urgell	Q104371	Arsende  de Cabrera	Q118293	Arsenda de Cabrera		Q21126905	real	real		Q107158
COLLAPSE	father	Q111909	Anicius Probus	Q75504	Anicius Olybrius Probus	Q75516	Anicius Hermogenianus Olybrius		Q1372249	real	real		
COLLAPSE	mother	Q111909	Anicius Probus	Q75507	Adelphia  de Limoge	Q113011	Anicia Juliana		Q12272064	real	real		
COLLAPSE	mother	Q113732	Adela of Roucy	Q113718	Alix de Roucy	Q113989	Beatrix de Hainaut	Q18606694	Q48925204	real	real		
COLLAPSE	mother	Q113981	Gilbert, Duke of Burgundy	Q115656	Ermengarde	Q206593	Ermengarde Of Bourgogne	Q100327211		real	real	Q113566	
COLLAPSE	father	Q123618	Serena	Q67474	Theodosius I	Q114989	Honorius	Q46696	Q159798	real	real		
COLLAPSE	father	Q123964	Ki Ageng Panjawi	Q123962	Ki Ageng Ngerang III	Q162889	Ki Ageng Ngerang-3	Q118720037		real	real		Q118858
COLLAPSE	father	Q134774	Aristodemus	Q74723	Aristomachus	Q74780	Aristomachus	Q311536		real	real		
COLLAPSE	father	Q153203	Rajasawardhana Sang Sinagara Placeholder surname	Q1665	Brawijaya I Kertawijaya or Bhre Tumapel III Majapahit 1447-1451	Q153206	Wikramawardhana (Maharaja Empayar Majapahit) Placeholder surname			real	real		
COLLAPSE	father	Q160004	Rajasawardhana Sang Sinagara	Q160008	Wikramawardhana (Maharaja Empayar Majapahit)	Q160010	Kertawijaya (Maharaja Majapahit ke7: 1447-1451)			real	real		
COLLAPSE	father	Q160433	KUNTI aka PREETHA Pandu	Q153359	Shurasena Arjuna	Q160461	KUNTIBHOJA (Yadavas)			real	real		
COLLAPSE	mother	Q160438	King Sihahanu of Shakya	Q160437	Kaccana of Devadeha	Q160469	N.N.			real	real		
COLLAPSE	father	Q160905	RICHEYU \ ANADHRISHTI ANADHRISHTI	Q160920	Ariha	Q160922	RAUDRASVA Ahamyati			real	real		
COLLAPSE	father	Q160905	RICHEYU \ ANADHRISHTI ANADHRISHTI	Q160920	Ariha	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q160905	RICHEYU \ ANADHRISHTI ANADHRISHTI	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q160928	Swammbhu Brambha	Q160946	11 Rudras	Q160947	Gobardhan Vishnu			real	real		
COLLAPSE	father	Q161280	RAGHU Dirghabahu	Q161283	Dileepa Deerghabahu	Q161284	BHAGIRATHA son of Dilipa			real	real		
COLLAPSE	mother	Q161658	Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja	Q162275	Wan Sendari (Radin Ratna Cenderapuri)	Q171395	Puti Reno Mandi Sari Lawik			real	real		Q160051
COLLAPSE	father	Q162368	RM. Prabu Singajiwa Kusumah (Cipajaran Tamanjaya Gobras Cibeureum)	Q163000	R. Mas Jatmika	Q163426	Sultan Agung Hanyakrakusuma, Raden Mas Rangsang			real	real		
COLLAPSE	father	Q169532	YUDHISHTIRA Dharmaputra	Q160434	PANDU Kuru	Q160673	YAMA Dharma			real	real		Q160433
COLLAPSE	father	Q170333	Kaksreyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170334	Vrikeyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170335	Sthandileyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170336	Vaneyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170337	Jaleyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170338	Tejeyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170339	Satyeyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170340	DHARMEYU Raudrasva	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q170341	Sannateyu	Q160922	RAUDRASVA Ahamyati	Q160924	PRAVIRA Puru			real	real		
COLLAPSE	father	Q171493	Venkatacharyar Jatavallabha (Jatavallabha award by Maha	Q171378	Govindacharyar Jatavallabha (Jatavallabha award by Maha	Q171648	Rangacharya Jatavallabha (Jatavallabha award by Maha			real	real		
DEDUPE	father	Q272	Zorapter	Q30719	Polyneoptera	Q152932	Aurapter Polyneoptera			real	real		
DEDUPE	father	Q273	Dermaptera	Q30719	Polyneoptera	Q152932	Aurapter Polyneoptera			real	real		
DEDUPE	father	Q274	Stone	Q30723	Polyneoptera	Q152933	Petropter Polyneoptera			real	real		
DEDUPE	father	Q275	Orthopter	Q30727	Polyneoptera	Q152934	Orthops Polyneoptera			real	real		
DEDUPE	father	Q276	Dictyoptera	Q30731	Polyneoptera	Q152935	Cryophanter Polyneoptera			real	real		
DEDUPE	father	Q1493	Neoteleostei	Q39502	Euteleostei	Q153134	1 Euteleostei			real	real	Q153133	
DEDUPE	father	Q1494	Stomiati	Q39502	Euteleostei	Q153134	1 Euteleostei			real	real	Q153133	
DEDUPE	father	Q1529	Batrachoidaria Batrachoididae (toadfishes)	Q40900	Percomorpha	Q153143	7 Percomorpha			real	real	Q5482	
DEDUPE	father	Q1532	Pelagiaria Scombriformes (tunas, mackerel, etc.)	Q41022	Percomorpha	Q153145	5 Percomorpha			real	real		
DEDUPE	father	Q1533	Syngnatharia Syngnathiformes (seahorses, seadragon, etc.)	Q41022	Percomorpha	Q153145	5 Percomorpha			real	real		
DEDUPE	father	Q1535	Gobiaria	Q41143	Percomorpha	Q153146	4 Percomorpha			real	real		
DEDUPE	father	Q1575	Cichlomorphae	Q42760	Ovalentaria	Q153163	2 Ovalentaria			real	real		
DEDUPE	father	Q1584	Ambassidae (Asiatic glassfishes)	Q43125	Ovalentaria	Q153165	3 Ovalentaria			real	real		
DEDUPE	father	Q1587	Congrogadidae (eel blenny)	Q43253	Ovalentaria	Q153167	5 Ovalentaria			real	real		
DEDUPE	father	Q1588	Pomacentridae (damselfishes, clownfish)	Q43253	Ovalentaria	Q153167	5 Ovalentaria			real	real		
DEDUPE	father	Q1591	Embiotocidae (surfperches)	Q43420	Ovalentaria	Q153169	7 Ovalentaria			real	real		
DEDUPE	father	Q1592	Mugilomorphae Mugiliformes (mullets)	Q43420	Ovalentaria	Q153169	7 Ovalentaria			real	real		
DEDUPE	father	Q1594	Lipogramma	Q43544	Ovalentaria	Q153170	8 Ovalentaria			real	real		
DEDUPE	father	Q1597	Plesiopidae (roundheads)	Q43629	Ovalentaria	Q153171	9 Ovalentaria			real	real		
DEDUPE	father	Q1599	Pseudochromidae (dottybacks)	Q43713	Ovalentaria	Q153172	10 Ovalentaria			real	real		
DEDUPE	father	Q1601	Grammatidae (basslets)	Q43797	Ovalentaria	Q153173	11 Ovalentaria			real	real		
DEDUPE	father	Q1603	Opistognathidae (jawfishes)	Q43882	Ovalentaria	Q153174	12 Ovalentaria			real	real		
DEDUPE	father	Q1604	Blenniimorphae	Q43882	Ovalentaria	Q153174	12 Ovalentaria			real	real		
DEDUPE	father	Q1610	Uranoscopiformes (stargazers)	Q44172	Eupercaria	Q153176	3 Eupercaria			real	real		
DEDUPE	father	Q1612	Labriformes (wrasses, cales, parrotfish)	Q44256	Eupercaria	Q153177	4 Eupercaria			real	real		
DEDUPE	father	Q1613	Centrogenyidae (false scorpionfish)	Q44256	Eupercaria	Q153177	4 Eupercaria			real	real		
DEDUPE	father	Q1616	Perciformes (perches, sticklebacks, scorpionfishes, etc.)	Q44421	Eupercaria	Q153179	6 Eupercaria			real	real		
DEDUPE	father	Q1618	Centrarchiformes (black basses, temperate perches, etc.)	Q44506	Eupercaria	Q153180	7 Eupercaria			real	real		
DEDUPE	father	Q1619	Pempheriformes (sweepers)	Q44506	Eupercaria	Q153180	7 Eupercaria			real	real		
DEDUPE	father	Q1622	Moronidae (temperate basses)	Q44676	Eupercaria	Q153182	9 Eupercaria			real	real		
DEDUPE	father	Q1623	Sillaginidae (smelt-whitings)	Q44676	Eupercaria	Q153182	9 Eupercaria			real	real		
DEDUPE	father	Q1625	Ephippiformes (spadefishes, batfishes)	Q44800	Eupercaria	Q153183	10 Eupercaria			real	real		
DEDUPE	father	Q1629	Chaetodontiformes (butterflyfishes)	Q44972	Eupercaria	Q153186	13 Eupercaria			real	real		
DEDUPE	father	Q1630	Sciaenidae (drums, croakers)	Q44972	Eupercaria	Q153186	13 Eupercaria			real	real		
DEDUPE	father	Q1633	Acanthuriformes (surgeonfishes, ponyfishes)	Q45142	Eupercaria	Q153188	15 Eupercaria			real	real		
DEDUPE	father	Q1634	Monodactylidae (moonyfishes, fingerfishes)	Q45142	Eupercaria	Q153188	15 Eupercaria			real	real		
DEDUPE	father	Q1636	Emmelichthyidae (rovers)	Q45266	Eupercaria	Q153189	16 Eupercaria			real	real		
DEDUPE	father	Q1638	Pomacanthidae (angelfishes)	Q45350	Eupercaria	Q153190	18 Eupercaria			real	real		
DEDUPE	father	Q1640	Lutjaniformes (snappers)	Q45430	Eupercaria	Q153191	17 Eupercaria			real	real		
DEDUPE	father	Q1642	Callanthiidae (splendid perches)	Q45506	Eupercaria	Q153192	26 Eupercaria			real	real		
DEDUPE	father	Q1643	Malacanthidae (tilefishes)	Q45506	Eupercaria	Q153192	26 Eupercaria			real	real		
DEDUPE	father	Q1646	Lobotiformes (tripletails)	Q45674	Eupercaria	Q153194	19 Eupercaria			real	real		
DEDUPE	father	Q1647	Spariformes	Q45674	Eupercaria	Q153194	19 Eupercaria			real	real		
DEDUPE	father	Q1649	Siganidae (rabbitfishes)	Q45799	Eupercaria	Q153195	22 Eupercaria			real	real		
DEDUPE	father	Q1653	Priacanthiformes (bigeyes, bandfishes)	Q45928	Eupercaria	Q153197	24 Eupercaria			real	real		
DEDUPE	father	Q1654	Scatophagidae (scats)	Q45928	Eupercaria	Q153197	24 Eupercaria			real	real		
DEDUPE	father	Q1655	Caproiformes (boarfishes)	Q45972	Eupercaria	Q153198	23 Eupercaria			real	real		
DEDUPE	father	Q1657	Lophiiformes (anglerfishes)	Q46137	Eupercaria	Q153199	25 Eupercaria			real	real		
DEDUPE	father	Q1658	Tetraodontiformes (pufferfishes, triggerfishes, etc.)	Q46137	Eupercaria	Q153199	25 Eupercaria			real	real		
DEDUPE	mother	Q1676	Tribhuwana Wijayatunggadewi	Q1683	Gayatri Rajapatni	Q48279	Gayatri Rajapatni			real	real		Q1684
DEDUPE	father	Q1713	Tunggul Ametung	Q48501	Rakai Sirikan Sri Kameswara (Jayawarsa)  .? Raja PANJALU	Q153236	Raja Kediri VIII - Sri Kamesywara (1182-1194) Placeholder surname			real	real		
DEDUPE	father	Q1815	Balaputra	Q153306	Maharaja Sriwijaya VI (792840), Medang VI (828-847) - Rakai Garung Rakai Garung	Q160332	Maharaja Sriwijaya VI (792840), Medang VI (828-847) - Rakai Garu			real	real		
DEDUPE	father	Q1861	Krishna	Q1877	Vasudeva	Q49387	Nanda Baba	Q890382		real	real		
DEDUPE	father	Q1861	Krishna	Q1877	Vasudeva	Q160387	NANDA RAI aka NANDA BABA of GOKUL Shurasena	Q890382		real	real	Q49440,Q153359	
DEDUPE	father	Q1861	Krishna	Q49387	Nanda Baba	Q160387	NANDA RAI aka NANDA BABA of GOKUL Shurasena			real	real		Q49383
DEDUPE	mother	Q1861	Krishna	Q1876	Devaki	Q49383	Yashoda			real	real		
DEDUPE	father	Q1876	Devaki	Q153358	UGRASENA Ahuka	Q160412	UGRASENA Ahuka			real	real		
DEDUPE	mother	Q1876	Devaki	Q49436	PADMAVATI  Satyaketu	Q160411	PADMAVATI Satyaketu			real	real		
DEDUPE	father	Q1877	Vasudeva	Q153359	Shurasena Arjuna	Q170603	Sursen			real	real		
DEDUPE	father	Q1893	Suppabuddha	Q1908	Anjana	Q49492	Anjana			real	real		
DEDUPE	father	Q1944	Shantanu	Q1958	Pratipa	Q160520	PRATIPA			real	real		
DEDUPE	mother	Q1944	Shantanu	Q49655	Sunanda  Pratipa	Q160519	SUNANDA Pratipa			real	real		
DEDUPE	father	Q1952	Creator BRAHMA	Q49687	Malichus  Banu Adnan	Q153405	India Genarch			real	real		
DEDUPE	father	Q2069	Pratikanshva	Q2079	Bhanuratha, King of Kosala	Q153475	Bhanuratha, King of Kosala Placeholder surname			real	real	Q153485	
DEDUPE	father	Q2076	Bharata	Q153482	DUSHYANTA Ilina	Q160789	DUSHYANTA Ilina			real	real		
DEDUPE	mother	Q2076	Bharata	Q153483	Shakuntala Placeholder surname	Q160790	SHAKUNTALA Viswamitra			real	real		
DEDUPE	father	Q2137	MATINARA	Q29983	RICHEYU \ ANADHRISHTI  ANADHRISHTI \Raudraswa	Q153525	RICHEYU \ ANADHRISHTI Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa Raudraswa ANADHRISHTI			real	real	Q50697,Q153533	
DEDUPE	father	Q2227	Susandhi, King of Kosala	Q2627	Prasusruta, King of Kosala	Q29967	Prasusruta, King of Kosala			real	real	Q2234	
DEDUPE	father	Q2299	AYUTAYUS of Magadha	Q2302	SRUTASRAVA of Magadha	Q52228				real	real	Q28284	
DEDUPE	father	Q2319	DASHARATHA	Q2322	Aja	Q52308				real	real	Q28364	Q51402
DEDUPE	father	Q2319	DASHARATHA	Q2322	Aja	Q161277	Aja			real	real		
DEDUPE	father	Q2319	DASHARATHA	Q52308		Q161277	Aja			real	real		
DEDUPE	mother	Q2319	DASHARATHA	Q51402	Indumati	Q161276	Indumati			real	real		
DEDUPE	father	Q2327	Dileepa Deerghabahu	Q2330	Khatvanga	Q52340				real	real	Q2333	
DEDUPE	father	Q2330	Khatvanga	Q2333	ANANARANYA III	Q52352				real	real	Q28412	
DEDUPE	father	Q2333	ANANARANYA III	Q28412	SAUDAS (MITRASAH)	Q52368				real	real	Q28425	
DEDUPE	father	Q2335	Anshuman	Q28416	ASAMANJA  Sagara	Q52372				real	real	Q28429,Q51427	Q51422
DEDUPE	father	Q2343	SUDAAS & SARVAKAMA	Q2346	SHRUTUPARNA & PRATAYU	Q52404				real	real	Q2349	
DEDUPE	father	Q2346	SHRUTUPARNA & PRATAYU	Q2349	SINDHU DWEEP	Q52416				real	real	Q28477,Q51462	
DEDUPE	father	Q2349	SINDHU DWEEP	Q28477	AMBARISH  NABHAG	Q52432				real	real	Q2356	Q51462
DEDUPE	father	Q2354	VIJAY aka Dhruvasandhi	Q2357	SUSANDHI aka Sudev	Q52448				real	real	Q2360	
DEDUPE	father	Q2356	Nabh	Q2359	SHRUT	Q52456				real	real	Q28376,Q30011	
DEDUPE	father	Q2357	SUSANDHI aka Sudev	Q2360	Champ	Q52460				real	real	Q28905	
DEDUPE	father	Q2359	SHRUT	Q28376	Solar Dynasty	Q30011	BHAGIRATHA  son of Dilipa			real	real		
DEDUPE	father	Q2389	Yuvanashva II	Q29014	Prasenajit 1  Ikshvaku	Q52580				real	real	Q2391	Q51524
DEDUPE	father	Q2389	Yuvanashva II	Q29014	Prasenajit 1  Ikshvaku	Q161377	Prasenajit 1 Ikshvaku			real	real		
DEDUPE	father	Q2389	Yuvanashva II	Q52580		Q161377	Prasenajit 1 Ikshvaku			real	real		
DEDUPE	mother	Q2389	Yuvanashva II	Q51524	wife of Prasenjit l	Q161378	wife of Prasenjit l			real	real		
DEDUPE	father	Q2403	Vishvagashva	Q29072	PRITHU  ANARANYA	Q52636				real	real	Q29076	
DEDUPE	father	Q2441	Spitama	Q2442	Vaedesht	Q52788				real	real	Q2443	
DEDUPE	father	Q2442	Vaedesht	Q2443	Niaajem	Q52792				real	real	Q29232	
DEDUPE	father	Q2446	Rak	Q2445	Dora Sharoob	Q52800				real	real	Q29180	
DEDUPE	father	Q2448	Frasht	Q2446	Rak	Q52804				real	real	Q2445	
DEDUPE	mother	Q2449	Peshotanu of Iran	Q2412	Pouru Chishti Kayan	Q52669				real	real	Q29136,Q51572	Q29096
DEDUPE	father	Q2485	Arnuwanda III	Q2515	Tudhaliya IV	Q52974		Q314361		real	real	Q2489	
DEDUPE	father	Q2487	Suppiluliuma	Q2515	Tudhaliya IV	Q52974		Q314361		real	real	Q2489	
DEDUPE	father	Q2489	Hattusili III	Q2494	Mursili II	Q53006		Q314378		real	real	Q2497,Q51890	
DEDUPE	father	Q2490	Maathorneferure	Q2489	Hattusili III	Q52986		Q297588		real	real	Q2494	
DEDUPE	father	Q2491	Nerikkaili	Q2489	Hattusili III	Q52986		Q297588		real	real	Q2494	
DEDUPE	father	Q2493	Yuri Nappatellas	Q2489	Hattusili III	Q52986		Q297588		real	real	Q2494	
DEDUPE	father	Q2495	Muwatalli II	Q2494	Mursili II	Q53006		Q314378		real	real	Q2497,Q51890	
DEDUPE	father	Q2515	Tudhaliya IV	Q2489	Hattusili III	Q52986		Q297588		real	real	Q2494	
DEDUPE	father	Q3457	Miguel de Cervantes	Q32086	Rodrigo  Cervantes Torreblanca	Q89759	Diego  de Cervantes y Toledo			real	real		
DEDUPE	father	Q3457	Miguel de Cervantes	Q32086	Rodrigo  Cervantes Torreblanca	Q91574	Diego  de Cervantes y Alvarez de Toledo			real	real		
DEDUPE	father	Q3457	Miguel de Cervantes	Q89759	Diego  de Cervantes y Toledo	Q91574	Diego  de Cervantes y Alvarez de Toledo			real	real	Q89530,Q91572	
DEDUPE	mother	Q3457	Miguel de Cervantes	Q91763	Juana  Arias de Avellaneda Saavedra	Q92861	Leonor  de Cortinas			real	real		
DEDUPE	father	Q4238	María Manrique de Lara	Q106950	Manrique Perez de Lara	Q118603	Manrique Pérez de Lara		Q6751540	real	real	Q112885	Q115806
DEDUPE	father	Q5864	N.N.	Q2485	Arnuwanda III	Q52970		Q278756		real	real	Q2515	
DEDUPE	father	Q6421	Shaodian	Q6433	Fuxi	Q51954	You Xiong	Q236972		real	real		
DEDUPE	father	Q6421	Shaodian	Q6433	Fuxi	Q87862	(You Xiong)  Youxiong	Q236972		real	real		
DEDUPE	father	Q6421	Shaodian	Q51954	You Xiong	Q87862	(You Xiong)  Youxiong			real	real	Q54433	
DEDUPE	mother	Q6429	Shaohao	Q6425	Leizu	Q87834		Q1441379		real	real		Q6420
DEDUPE	mother	Q6445	Zhuanxu	Q6443	Jing Pu	Q70032	Wife of Shaohao  Wife of Shaohao	Q16076341		real	real		
DEDUPE	father	Q6453	Emperor Ku	Q6441	Jiao Ji	Q87827	Jiaoji  descendant of the Yellow Emperor	Q10514592		real	real	Q6429,Q70032	
DEDUPE	father	Q6459	Gun	Q6445	Zhuanxu	Q52242	Gao Yang Gao Yang	Q198180		real	real	Q6430	
DEDUPE	father	Q6478	Hou Ji	Q6453	Emperor Ku	Q87823	Emperor Ku  descendant of the Yellow Emperor	Q721756		real	real	Q6441,Q87827	Q87825
DEDUPE	father	Q6480	Xie of Shang	Q6453	Emperor Ku	Q87823	Emperor Ku  descendant of the Yellow Emperor	Q721756		real	real	Q6441,Q87827	Q87825
DEDUPE	father	Q6605	King Tai of Zhou	Q70074	Gong Shu Zulei  Duke Uncle Zulei  descendant of Emperor Ku	Q87745	Gong Shu Zu , 37  GONG Zulei			real	real		
DEDUPE	father	Q6616	Taibo	Q6605	King Tai of Zhou	Q87737	Gu Gong Dan Fu   Ji	Q198009		real	real	Q87745	Q87739
DEDUPE	father	Q6618	Zhongyong of Wu	Q6605	King Tai of Zhou	Q87737	Gu Gong Dan Fu   Ji	Q198009		real	real	Q87745	Q87739
DEDUPE	father	Q25504	Xiao Yi of Shang	Q25483	Zu Ding	Q53686	Zu Ding  Zi Xing	Q878455		real	real		
DEDUPE	father	Q28227	CHITRARATH  Rasadu	Q28239	RASADU  Swati	Q52196				real	real	Q28255	
DEDUPE	father	Q28239	RASADU  Swati	Q28255	SWATI (VISHADGU)  Svahit	Q52212				real	real	Q28268	
DEDUPE	father	Q28255	SWATI (VISHADGU)  Svahit	Q28268	SVAHIT  Vrujinvanta	Q52224				real	real	Q28280	
DEDUPE	father	Q28268	SVAHIT  Vrujinvanta	Q28280	VRJINVANTA (VRAJPITA)  Kroshtu	Q52236				real	real	Q28296	
DEDUPE	mother	Q28276	NABHA  Nala	Q51326	...	Q161239	DAMAYANTI Nala			real	real		Q28292
DEDUPE	father	Q28280	VRJINVANTA (VRAJPITA)  Kroshtu	Q28296	KROSHTU  Yadu	Q52252				real	real	Q153469	
DEDUPE	father	Q28284	SOMAPI of Magadha	Q28300	SAHADEVA of Magadha  Jarasandha	Q52256				real	real	Q28308,Q51331	
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q28332	King of Mithila	Q51357	King Janaka			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q28332	King of Mithila	Q52288				real	real	Q28344,Q51387	Q51367
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q28332	King of Mithila	Q161265	King Janaka			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q28332	King of Mithila	Q161266	SHIRADVAJA \ JANAKA JANAKA			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q51357	King Janaka	Q52288				real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q51357	King Janaka	Q161265	King Janaka			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q51357	King Janaka	Q161266	SHIRADVAJA \ JANAKA JANAKA			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q52288		Q161265	King Janaka			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q52288		Q161266	SHIRADVAJA \ JANAKA JANAKA			real	real		
DEDUPE	father	Q28324	SITA aka Janaki aka Mythili  Rama	Q161265	King Janaka	Q161266	SHIRADVAJA \ JANAKA JANAKA			real	real		Q161264
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q51362	Bhumidevi \ Earth  Earth	Q51367	SUNAYANA			real	real		
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q51362	Bhumidevi \ Earth  Earth	Q161263	Bhumidevi \ Earth Earth			real	real		
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q51362	Bhumidevi \ Earth  Earth	Q161264	SUNAYANA Janaka			real	real		
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q51367	SUNAYANA	Q161263	Bhumidevi \ Earth Earth			real	real		
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q51367	SUNAYANA	Q161264	SUNAYANA Janaka			real	real		
DEDUPE	mother	Q28324	SITA aka Janaki aka Mythili  Rama	Q161263	Bhumidevi \ Earth Earth	Q161264	SUNAYANA Janaka			real	real		
DEDUPE	father	Q28332	King of Mithila	Q28344	HRASWAROMA  SWANAROMA	Q52300				real	real	Q28356	Q51387
DEDUPE	father	Q28344	HRASWAROMA  SWANAROMA	Q28356	SWANAROMA  MAHANROMA	Q52312				real	real	Q28368	
DEDUPE	father	Q28356	SWANAROMA  MAHANROMA	Q28368	MAHAROMA  KIIRTIRAATA	Q52324				real	real	Q28380	
DEDUPE	father	Q28364	RAGHU  Dirghabahu	Q2327	Dileepa Deerghabahu	Q51407	Dileepa Deerghabahu			real	real	Q2330,Q52340	
DEDUPE	father	Q28364	RAGHU  Dirghabahu	Q2327	Dileepa Deerghabahu	Q52328				real	real	Q2330	
DEDUPE	father	Q28364	RAGHU  Dirghabahu	Q28376	Solar Dynasty	Q30011	BHAGIRATHA  son of Dilipa			real	real		
DEDUPE	father	Q28364	RAGHU  Dirghabahu	Q51407	Dileepa Deerghabahu	Q52328				real	real	Q2330	
DEDUPE	father	Q28368	MAHAROMA  KIIRTIRAATA	Q28380	KIIRTIRAATA  MAHIIDHRAKA	Q52336				real	real	Q28392	
DEDUPE	father	Q28380	KIIRTIRAATA  MAHIIDHRAKA	Q28392	MAHIIDHRAKA  VIBUDHA	Q52348				real	real	Q28408	
DEDUPE	father	Q28388	DILIPA 1  Anshuman	Q2335	Anshuman	Q52360				real	real	Q28416,Q51422	Q51417
DEDUPE	father	Q28392	MAHIIDHRAKA  VIBUDHA	Q28408	VIBHUDHA  DEVAMIIDHA	Q52364				real	real	Q28420	
DEDUPE	father	Q28408	VIBHUDHA  DEVAMIIDHA	Q28420	KIIRTI RATHA	Q52376				real	real	Q28433	
DEDUPE	father	Q28412	SAUDAS (MITRASAH)	Q28425	SAUDAS (MITRASAH)  SUDAAS	Q52380				real	real	Q2343	
DEDUPE	father	Q28416	ASAMANJA  Sagara	Q28429	of Vedic period	Q52384				real	real	Q2344	Q51427
DEDUPE	father	Q28420	KIIRTI RATHA	Q28433	Kritiratha  PRATIINDHAKA	Q52388				real	real	Q28445	
DEDUPE	father	Q28425	SAUDAS (MITRASAH)  SUDAAS	Q2343	SUDAAS & SARVAKAMA	Q51437	SUDAAS & SARVAKAMA			real	real	Q2346,Q52404	
