qid,english_label,english_description,label_count,description_count,wikidata_qids,wikidata_count
Q21944,Kuroda Tsugutaka,,4,1,Q11678674,1
Q21945,Yamauchi Katsutoshi,,2,1,Q11466346,1
Q21946,Katusteru Yamauchi,,2,1,Q11466349,1
Q21948,Tachibana Tanenaga,,4,1,Q11598189,1
Q21949,Tachibana Yasunaga,,4,1,Q11598208,1
Q21950,Tani Moritoshi,,2,1,Q11633099,1
Q21951,Tani Moriyori,daimyo,5,2,Q11633105,1
Q21952,Sakai Tadayoshi,,3,1,Q11644109,1
Q21953,Sakai Tadasono,,3,0,Q11644116,1
Q21954,Sakai Tadakiku,27 Oct 1679 - 22 Mar 1722,3,2,Q11644169,1
Q21955,Sakai Tadaoto,,3,1,Q11644185,1
Q21956,Takebe Mitsushige,,5,2,Q11486850,1
Q21957,Takebe Masanoki,,3,1,Q11486856,1
Q21958,Asakura Nobumasa,samurai of the early Edo period,9,3,Q6527250,1
Q21959,Matsudaira Ienobu,daimyo,14,9,Q5368670,1
Q21966,Kuwayama Motoharu,,3,2,Q11537532,1
Q21967,Okabe Nagayasu,,3,0,Q11473885,1
Q21971,Nabeshima Naoeda,(1655-1705),6,3,Q11650677,1
Q21977,Matsudaira Tadafusa,,6,1,Q10729386,1
Q21980,Sakakibara Kiyomasa,,3,3,Q11541718,1
Q21983,Okudaira Masakatsu,,3,1,Q11445782,1
Q21985,Shimazu Mitsuhisa,(1616-1695),9,3,Q11246514,1
Q21986,Shimazu Hisasue,,6,0,Q11163166,1
Q21987,Tadatoyo Yamanouchi,,6,0,Q6584320,1
Q21990,Matsudaira Sadateru,,4,0,Q11530396,1
Q21991,Nakagawa Hisamichi,,4,1,Q11364751,1
Q21994,Yoshisato Yanagisawa,,5,1,Q11534391,1
Q21995,Yamauchi Kazutoyo,daimyo,22,11,Q1315878,1
Q22003,Nishio Yoshinori,,3,1,Q11627724,1
Q22005,Yamada Shigetatsu,,3,2,Q11470709,1
Q22011,Abe Masasuke,,7,1,Q10565416,1
Q22012,Abe Masaoki,,7,1,Q10565454,1
Q142743,"Sir Brim Turberville, of Crucywel",,2,0,Q110152886; Q110152886,2
Q142744,Ifor ap Llywelyn Lleia ab Ifor ap Llywelyn,(1245-1285),3,2,Q99083911; Q99083911,2
Q142745,David Vaughan ap David ap Llewellyn ap Philip,Peerage person ID=471587,2,1,Q76018971; Q76018971,2
Q142746,Gwenllian ferch Einion ap Gwilym ap Llywelyn Ddû,,1,0,Q110559665; Q110559665,2
Q142747,Elizabeth ap Llewellyn,Peerage person ID=471588,2,1,Q76018973; Q76018973,2
Q142748,Sir John Morgan,Peerage person ID=228032,4,2,Q75586886; Q75586886,2
Q142749,Gwilym ap Thomas ap Llywelyn of Cillwch Fach,,1,0,Q110559656; Q110559656,2
Q142750,Mawd ferch Thomas ap Llywelyn ap Hywel Fychan,,1,0,Q122260594; Q122260594,2
Q142751,Gwilym ap Meurig ab Ieuan ap Gwiylm Sais,,1,0,Q116812540; Q116812540,2
Q142752,Gwenllian Norris,(1357-1381),2,1,Q99083972; Q99083972,2
Q142753,Morgan ap Jenkyns ap Philip,Peerage person ID=569110,4,2,Q76155983; Q76155983,2
Q142754,William Morgan ap Jenkin ap Philip ap Morgan,,1,0,Q116146001; Q116146001,2
Q142755,"Jenkin|John ap John ap Henry Kemeys, of Began",- Aft Jun 1384,2,1,Q99211460; Q99211460,2
Q142757,Trahaearn ap Meurig ap Gwilym Sais of Merthyr,,1,0,Q110560184; Q110560184,2
Q142758,Jonet|Cecily ferch Ieuan ap Trahaearn ap Meurig,,2,0,Q110390643; Q110390643,2
Q142759,Jane ferch Ieuan ap Trahaearn ap Meurig ap Gwilym Sais,,1,0,Q116470888; Q116470888,2
Q142760,Dafydd ab Ieuan ap Dafydd ap Llywelyn of Blaenbradach,,1,0,Q116469822; Q116469822,2
Q142761,Llywelyn Fychan ap Gwilym ap Dafydd ab Ieuan,,1,0,Q116469805; Q116469805,2
Q142762,Gwilym,,1,0,Q110559704; Q110559704,2
Q142763,Gronwy ap Hywel ap Gronwy ap George,,1,0,Q116469859; Q116469859,2
Q142764,Gwilym ab Ieuan ap Philip ab Ieuan of Llanhenwg,,1,0,Q116469827; Q116469827,2
Q142765,Madog ap Dafydd Gôch ap Dafydd Hên ap Gronwy,,1,0,Q117306707; Q117306707,2
Q142766,"Sir Piers ab Arnold Butler, of Dunraven",,1,0,Q130340907; Q130340907,2
Q142767,Gwladus ferch Gruffudd Gôch,,1,0,Q110621967; Q110621967,2
Q142768,"Nicholas Button, of Worlton",,1,0,Q110621945; Q110621945,2
Q142769,"John Button, of Alton, Wilts",- Bef 10 Oct 1491 (date will proven),1,1,Q111506479; Q111506479,2
Q142770,Elen ferch Morgan ap Dafydd ap Llywelyn ap Philip of Rhydodon,,2,0,Q110413562; Q110413562,2
Q142771,Gronwy ap Dafydd ap Seisyll ap Gilbert,,1,0,Q116146132; Q116146132,2
Q142773,Margred ferch Sir John Norris,,1,0,Q116469814; Q116469814,2
Q142774,"Catrin ferch Lewys Mathew, of Carnllwyd",,1,0,Q116469809; Q116469809,2
Q142775,Ieuan ap Bleddyn ap Dyfnwal ab Iorwerth,,1,0,Q117307103; Q117307103,2
Q142776,Gwilym ap Rhys ap Llywelyn ab Ednyfed Fychan,,1,0,Q117307055; Q117307055,2
Q142777,Hopkin ap Gruffudd Gethin ap Madog ap Rhys,,1,0,Q130358789; Q130358789,2
Q142778,Sir John Seymour,,1,0,Q116469746; Q116469746,2
Q142779,Catrin ferch Gronwy ab Ifor Hir of Glamorgan,,1,0,Q116470941; Q116470941,2
Q142780,Hywel Yehan of Tythegstone,,1,0,Q110622073; Q110622073,2
Q142781,Wilcock Turberville,,1,0,Q110622050; Q110622050,2
Q142782,"Tomkin Turberville, of Llandudwg",,2,0,Q99211654; Q99211654,2
Q142783,"Walter de Bredwardine, of Bredwardine",(est. 1300 - ),2,1,Q99080642; Q99080642,2
Q142784,Gwilym ap Philip ap Richard Gam (of Talgarth) ap Richard ab Einion ap Llywarch,,2,0,Q99084820; Q99084820,2
Q142785,Alice ferch Sir Watkin Llwyd ab Ieuan ap Watkin,1395,2,1,Q99068250; Q99068250,2
Q142786,Eleanor Vaughan,Peerage person ID=644461,2,1,Q76260440; Q76260440,2
Q142787,Roger Vaughan,Peerage person ID=471598,2,1,Q76018998; Q76018998,2
Q142788,Thomas Vaughan,"Welsh Yorkist, died circa 1493",6,1,Q18954619; Q18954619,2
Q142789,"Catherine Vaughan, of Tretower",,1,0,Q117277328; Q117277328,2
Q142790,Gwenllian ferch Roger Vaughan,,1,0,Q122260460; Q122260460,2
Q142791,John ap Hywel ap Gwilym of Talyllyn,,2,0,Q110390623; Q110390623,2
Q142792,Annes ferch Hywel ap Gwilym ap Thomas,,1,0,Q116812071; Q116812071,2
Q142793,Margred ferch John Herle,,1,0,Q110559687; Q110559687,2
Q142794,Alice Bodenham,,1,0,Q110559673; Q110559673,2
Q142795,"Roger Bodenham, of Rotherwas",(died 1514),2,1,Q108912821; Q108912821,2
Q142796,William ap Philip Vaughan,,1,0,Q116812239; Q116812239,2
Q142797,"John Herl (Herle), of Tyle-glas",- 1511,2,1,Q110412860; Q110412860,2
Q142798,Anne ferch Thomas ap Rhys ap Philip Fychan,,1,0,Q130358699; Q130358699,2
Q142799,Thomas de la Barre,Peerage person ID=327996,2,1,Q75775677; Q75775677,2
Q142800,Alice Talbot,Abt 1389/1393 - 1436,4,2,Q99800408; Q99800408,2
Q142801,Ieuan ap Thomas ap Gwilym ap Jenkin,- Bef 1416,1,1,Q110621979; Q110621979,2
Q142802,Tudful ferch Thomas ap Jenkin ab Adam,,1,0,Q116469832; Q116469832,2
Q142803,NN ferch Thomas ap Gwilym,,2,0,Q110390655; Q110390655,2
Q142804,Elizabeth Bluet,Peerage person ID=27675,2,1,Q75271576; Q75271576,2
Q142805,Margaret ap Griffith,Peerage person ID=361841,2,1,Q75860494; Q75860494,2
Q142807,Richard Herbert,Welsh knght,10,4,Q5801958; Q5801958,2
Q142808,Margaret Herbert,Peerage person ID=460248,3,1,Q76002357; Q76002357,2
Q142809,John Gwilim Herbert,Peerage person ID=670717,2,1,Q76297297; Q76297297,2
Q142810,Elizabeth Herbert,Peerage person ID=195792,4,2,Q75527834; Q75527834,2
Q142812,Lewys ap Philip ap Thomas of Abergavenny,,1,0,Q112491085; Q112491085,2
Q142813,Jonet ferch Philip ap Thomas,,1,0,Q116812588; Q116812588,2
Q142814,Isabel ferch Hywel ap Thomas of Perthyr,,2,0,Q110427954; Q110427954,2
Q142815,Gwilyn ap Hywel ap Thomas ap Gwilym of Perth-hir,- 1469 Banbury (slain in battle),1,1,Q116470914; Q116470914,2
Q142816,Gwilym Fychan ap Hywel Vaughan,,1,0,Q129168277; Q129168277,2
Q142817,Llywelyn ap Gwilym ap Dafydd ap Jenkin of Rhiwperra,,1,0,Q122260536; Q122260536,2
Q142818,Gibbon ap Dafydd ap Gilbert Payn,,1,0,Q122260606; Q122260606,2
Q142819,NN ferch Hywel Gibbon ap Gibbon Payn ap Dafydd,,1,0,Q122260604; Q122260604,2
Q142820,Margaret ferch Morgan ap Llewelyn of Rhayader Llewelyn of Rhayader,(1427-1468),2,1,Q99068159; Q99068159,2
Q142821,"Catrin|Catherine ferch Morgan ap Llewelyn ab Ieuan of Radyr, Glam",,3,0,Q104038621; Q104038621,2
Q142822,"Jenkin ap John Basset, of Beaupré",- 24 May 1492,1,1,Q116146004; Q116146004,2
Q142823,"Gwilym ap Paym ap John Van, of Marcross",,1,0,Q116812559; Q116812559,2
Q142824,Ieuan Gôch of Rhydlafar,,1,0,Q116146121; Q116146121,2
Q142825,NN ferch Llywelyn Goch ab Ieuan ap Dafydd,,2,0,Q99208460; Q99208460,2
Q142826,Margred ferch Llywelyn Gôch ab Ieuan ap Dafydd of Rhydlafar,,1,0,Q116812067; Q116812067,2
Q142827,Jenkin ap Thomas ab Ieuan ap Dafydd of Llantrithyd,,1,0,Q116146011; Q116146011,2
Q142828,"John ab Ieuan ap Dafydd Thomas, of Pant y Corred",,1,0,Q122260455; Q122260455,2
Q142829,Joan ferch Llywelyn ap Philip ap Rhys,,1,0,Q122260689; Q122260689,2
Q142830,John Fleming,(est. 1324 - ),3,1,Q99084132; Q99084132,2
Q142831,Efa ferch John Norris,1322 -,1,1,Q116170856; Q116170856,2
Q142832,Margred ferch Dafydd Mathew of Radyr of Radyr,,4,0,Q99068369; Q99068369,2
Q142833,"Thomas Mathew, of Radyr, Glam",- 1470,3,2,Q104038618; Q104038618,2
Q142834,John Mathew,Peerage person ID=471591,3,2,Q76018978; Q76018978,2
Q142835,Rimron ap Dafydd Mathew,- Aft 1470 (will date),1,1,Q124324513; Q124324513,2
Q22019,Toda Naiki,,4,1,Q17221950,1
Q22021,Matsudaira Ayaaki,,3,0,Q11530466,1
Q22022,Matsudaira Nobumichi,,5,0,Q11530350,1
Q22025,Matsudaira Nobuteru,(1660-1725),6,2,Q11530361,1
Q22026,Matsudaira Terusada,,5,1,Q11530604,1
Q22028,Yamaguchi Nagahiro,,3,1,Q11466654,1
Q22031,Tsuchiya Toshinao,Japanese daimyo,3,2,Q11423236,1
Q22032,Matsudaira Noritsugu,,8,1,Q10729484,1
Q22034,Honda Yasunori,,8,1,Q10522052,1
Q22035,Miyake Yasunobu,daimyo,13,8,Q6884227,1
Q22046,Naoe Kanetsugu,Japanese samurai,22,10,Q1348611,1
Q22048,Honda Inuchiyo,daimyo of Enomoto domain,5,2,Q10517777,1
Q22052,Ishikawa Yasukatsu,,7,1,Q11585796,1
Q22054,Ishikawa Yasunaga,,4,2,Q11585799,1
Q22058,Tsubouchi Toshisada,,3,2,Q11425729,1
Q22060,Oda Nobukado,Hatamoto of the Edo period,7,2,Q11608343,1
Q22061,Oda Takamoto,hatamoto of early-Edo period,7,2,Q11608469,1
Q22063,Ogasawara Nagasuke,(1644-1690),5,2,Q10859969,1
Q22064,Ogasawara Nagashige,daimyo (1650-1732),12,8,Q7079832,1
Q22069,Ogasawara Sadaaki,,7,1,Q10856571,1
Q22070,Ogasawara Sadamasa,,8,1,Q10856531,1
Q22071,Honda Tadatoyo,,3,3,Q11520040,1
Q22072,Eikohime,,2,1,Q119380583,1
Q22073,Seion'in,"Sanada Nobutsuna's daughter, Sanada Nobuyuki's first wife and later concubine",5,1,Q28689491,1
Q22075,Sanada Nobuyoshi,Son of Sanada Nobuyuki,8,1,Q11583362,1
Q22077,Sanada Nobunari,,3,1,Q11583363,1
Q22078,Sanada Yukimichi,daimyo of the Edo period. 3rd lord of Matsushiro (1657-1727),7,2,Q11583392,1
Q22083,Honda Tadanao,,4,1,Q11520027,1
Q22085,Kanamori Yorinao,,3,1,Q11647302,1
Q22086,Mizuno Tadamitsu,,6,1,Q10565626,1
Q22087,Ishikawa Fusayoshi,,3,1,Q11586326,1
Q22088,Arima Yoshisada,Japanese Daimyo from Hizen,13,7,Q11516823,1
Q22090,Arima Kamon,,8,1,Q11516788,1
Q22092,Konishi Josei,,4,1,Q11463583,1
Q22093,Oda Nagahiro,daimyo of the Edo period; 5th lord of Shibamura,5,2,Q11608444,1
Q22094,Oda Nagaaki,daimyo of the Edo period; 6th lord of Shibamura,4,2,Q11608438,1
Q22096,"{'language': 'en', 'value': 'Oda Nobukata'}","{'language': 'en', 'value': 'daimyo of the Edo period; 7th lord of Yanagimoto'}",5,2,Q11608305; Q11608305,2
Q22098,"{'language': 'en', 'value': 'Tokugawa Harumori'}","{'language': 'en', 'value': '(1751-1805)'}",11,4,Q6998193; Q6998193,2
Q22099,"{'language': 'en', 'value': 'Tsuchiya Yoshinao'}",,7,0,Q6997853; Q6997853,2
Q22100,"{'language': 'en', 'value': 'Matsudaira Yoshikazu'}","{'language': 'en', 'value': 'daimyo of Takasu domain'}",9,2,Q11530566; Q11530566,2
Q22112,"{'language': 'en', 'value': 'Matsudaira Katsushige'}","{'language': 'en', 'value': '21 Jul 1832 - 8 Feb 1912'}",6,1,Q10729337; Q10729337,2
Q22114,"{'language': 'en', 'value': 'Matsudaira Takeoki'}","{'language': 'en', 'value': 'daimyo of Hamada'}",4,2,Q11530498; Q11530498,2
Q22116,"{'language': 'en', 'value': 'Yamanobe Yoshimoto'}",,7,1,Q11471092; Q11471092,2
Q22118,"{'language': 'en', 'value': 'Takahashi Shigekata'}",,2,1,Q22126134; Q22126134,2
Q22119,"{'language': 'en', 'value': 'Yamanobe Yoshimasa'}",,8,1,Q11471087; Q11471087,2
Q22120,"{'language': 'en', 'value': 'Nanbu Toshihisa'}","{'language': 'en', 'value': '(1827-1896)'}",8,2,Q8513991; Q8513991,2
Q22121,"{'language': 'en', 'value': 'Inoue Masayori'}","{'language': 'en', 'value': '14 Aug 1854 - certain 6 Jan 1904'}",3,2,Q11373096; Q11373096,2
Q22122,"{'language': 'en', 'value': 'Ikeda Norizumi'}",,8,1,Q11551875; Q11551875,2
Q22126,"{'language': 'en', 'value': 'Norizane Ikeda'}",,6,1,Q11551876; Q11551876,2
Q22127,"{'language': 'en', 'value': 'Tsunahiro Kutsuki'}","{'language': 'en', 'value': 'Japanese politician'}",4,23,Q52083748; Q52083748,2
Q22133,"{'language': 'en', 'value': 'Prince Fushimi Hiroyoshi'}","{'language': 'en', 'value': 'Japanese prince'}",17,18,Q6277425; Q6277425,2
Q22135,"{'language': 'en', 'value': 'Atsuko Kiyosu'}",,2,1,Q108111389; Q108111389,2
Q22136,"{'language': 'en', 'value': 'Tokugawa Taeko'}","{'language': 'en', 'value': 'Japanese Imperial princess married to a shogun descendant (1920-1954)'}",11,3,Q6997629; Q6997629,2
Q22137,"{'language': 'en', 'value': 'Princess Mieko of Arisugawa'}","{'language': 'en', 'value': 'Japanese noble (1891–1933)'}",10,12,Q7004966; Q7004966,2
Q22139,"{'language': 'en', 'value': 'Tokugawa Yoshimitsu'}","{'language': 'en', 'value': 'Japanese politician and photographer'}",13,6,Q7005227; Q7005227,2
Q22141,"{'language': 'en', 'value': 'Kumiko Ide'}",,3,2,Q111114473; Q111114473,2
Q22142,"{'language': 'en', 'value': 'Tokugawa Satoko'}",,4,0,Q60987327; Q60987327,2
Q22143,"{'language': 'en', 'value': 'Nobumoto Tokugawa'}","{'language': 'en', 'value': 'Japanese politician (1897–1938)'}",8,28,Q51166560; Q51166560,2
Q22144,"{'language': 'en', 'value': 'Masaaki Hachisuka'}","{'language': 'en', 'value': 'Japanese politician (1871-1932)'}",15,15,Q11625683; Q11625683,2
Q22145,"{'language': 'en', 'value': 'Toshiko Hachisuka'}","{'language': 'en', 'value': 'Japanese designer'}",10,10,Q11625675; Q11625675,2
Q22146,"{'language': 'en', 'value': 'Masauji Hachisuka'}","{'language': 'en', 'value': 'Japanese ornithologist (1903-1953)'}",24,10,Q11625684; Q11625684,2
Q22147,"{'language': 'en', 'value': 'Tokugawa Satotaka'}","{'language': 'en', 'value': 'Japanese politician'}",15,34,Q3530494; Q3530494,2
Q22148,"{'language': 'en', 'value': 'Satomichi Tokugawa'}","{'language': 'en', 'value': '19 Dec 1872 - 29 Dec 1944'}",5,1,Q65267787; Q65267787,2
Q22149,"{'language': 'en', 'value': 'Kuniyuki Tokugawa'}","{'language': 'en', 'value': 'Japanese politician (1886-1969)'}",22,24,Q277135; Q277135,2
Q22150,"{'language': 'en', 'value': 'Tokugawa Kuninari'}","{'language': 'en', 'value': 'Japanese businessperson and horticulturist'}",10,4,Q11490265; Q11490265,2
Q22153,"{'language': 'en', 'value': 'Chikako Shibusawa'}",,6,1,Q106847232; Q106847232,2
Q22155,"{'language': 'en', 'value': 'Hotta Masayoshi'}","{'language': 'en', 'value': 'daimyo (1810-1864)'}",21,9,Q910241; Q910241,2
Q22156,"{'language': 'en', 'value': 'Princess Arisugawa Toshiko'}",,5,1,Q11634517; Q11634517,2
Q22157,"{'language': 'en', 'value': 'Prince Arisugawa Taruhito'}","{'language': 'en', 'value': 'Japanese prince and general (1835-1895)'}",19,12,Q668338; Q668338,2
Q22158,"{'language': 'en', 'value': 'Prince Arisugawa Takehito'}","{'language': 'en', 'value': 'Japanese admiral (1862-1913)'}",16,22,Q875481; Q875481,2
Q22159,"{'language': 'en', 'value': 'Hachisuka Mochiaki'}","{'language': 'en', 'value': 'Japanese politician (1846-1918)'}",18,23,Q656008; Q656008,2
Q22160,"{'language': 'en', 'value': 'Sadanori Matsudaira'}","{'language': 'en', 'value': '[松平定教] bureaucrat'}",13,7,Q6282570; Q6282570,2
Q22161,"{'language': 'en', 'value': 'Matsudaira Sadaaki'}","{'language': 'en', 'value': '[松平定敬] daimyo of the late of Edo period; lord of Kuwana'}",17,6,Q3299354; Q3299354,2
Q22162,"{'language': 'en', 'value': 'Satoko Tokugawa'}",,4,0,Q118697676; Q118697676,2
Q22163,"{'language': 'en', 'value': 'Tokugawa Muneyoshi'}","{'language': 'en', 'value': 'Japanese politician'}",15,31,Q6998419; Q6998419,2
Q22168,"{'language': 'en', 'value': 'Daigo Fuyuhiro'}",,3,1,Q11644456; Q11644456,2
Q22169,Tokudaiji Kintake,,6,1,Q11489569,1
Q22177,Mashiyama Masamitsu,,7,0,Q11429192,1
Q22178,Matsudaira Munemitsu,samurai of the middle Edo period; son of daimyo Matsudaira Suketoshi,6,2,Q10862088,1
Q22179,Matsudaira Munenaga,daimyo of the middle Edo period; 1st lord of Takamori,6,2,Q10862090,1
Q22180,Matsudaira Munehisa,daimyo of the middle Edo period; 2nd lord of Takamori,5,2,Q11530392,1
Q22181,Makino Yasuchika,,7,1,Q10860162,1
Q22188,Abe Masataka,,7,0,Q10565418,1
Q22192,"{'language': 'en', 'value': 'Matsudaira Kataoki'}","{'language': 'en', 'value': 'daimyo of the late Edo period; 6th lord of Aizu'}",6,1,Q11239089; Q11239089,2
Q142836,"William ap Robert Mathew, of Castell y Mynach",,1,0,Q122260452; Q122260452,2
Q142837,"Caradog, lord of Fan",,1,0,Q130340925; Q130340925,2
Q142838,Sybil,,1,0,Q130340917; Q130340917,2
Q142839,"John ap John Butler, of Dunraven",,1,0,Q130340903; Q130340903,2
Q142840,NN ferch Rhys ab Adda Fychan ab Adda,,1,0,Q130358615; Q130358615,2
Q142841,Jenkin ap Rhys ap Llywelyn ap Rhys of Glyn Nedd,,2,0,Q110413734; Q110413734,2
Q142842,Hywel ap Gruffudd ap Gronwy ap Rhys,,1,0,Q116470731; Q116470731,2
Q142843,Llywelyn ap Dafydd Bach ap Gruffudd Gôch of Llancarfan,,1,0,Q112608641; Q112608641,2
Q142844,Margred ferch John ap Jenkin ab Ieuan ap Rhys ap Morgan Fychan,,2,0,Q97532314; Q97532314,2
Q142845,Margred Gunter,,2,0,Q97532007; Q97532007,2
Q142846,Joan ferch Jenkin Hên Gunter,,2,0,Q110390669; Q110390669,2
Q142847,"John Gunter, of Chilworth",(est. 1458 - ),2,1,Q105872058; Q105872058,2
Q142848,Jane|Jonet Gunter,,2,0,Q110332337; Q110332337,2
Q142849,Margred ferch Llywelyn ap Gwilym ap Rhys Llwyd,,2,0,Q105819572; Q105819572,2
Q142850,Jenkin ap Llywelyn ap Gwilym ap Rhys,,2,0,Q110412873; Q110412873,2
Q142851,Gwilym Gwyn ap Llywelyn ap Gwilym ap Rhys Llwyd of Porthgogof,,2,0,Q116812217; Q116812217,2
Q142852,Alice ferch Dafydd ap Watkin Llywd ab Ieuan,,1,0,Q116469736; Q116469736,2
Q142853,Rhys ab Ieuan ap Gwilym ap Rhys Llwyd,,1,0,Q116478627; Q116478627,2
Q142854,Isabel ferch Philip ap Gwilym ap Rhys Llwyd,,1,0,Q127225266; Q127225266,2
Q142855,NN ferch Hugh Stradling,,1,0,Q116812277; Q116812277,2
Q142856,Adam ap Maredudd ap Gruffudd ap Hywel Benfras,,1,0,Q116812272; Q116812272,2
Q142857,"Richard Adams, of Castleton",,1,0,Q117277320; Q117277320,2
Q142858,Cecily ferch Hywel ap Dafydd Ysgolhaig ab Ieuan,,1,0,Q116812472; Q116812472,2
Q142859,Ieuan ap Gruffudd ap Trahaearn Llwyd ap Thomas,,1,0,Q116812264; Q116812264,2
Q142860,"Thomas ap Gruffudd ap Trahaearn Llwyd ap Thomas of Defynnog, Breconshire",,1,0,Q127225271; Q127225271,2
Q142861,Joan ferch Rhys ap Llywelyn ap Rhys,,1,0,Q110560168; Q110560168,2
Q142862,Gwenllian ferch Philip ap Llywelyn ab Ifor of Sain Pyr,(1382-1415),3,2,Q99084219; Q99084219,2
Q142863,Sir Dafydd ap Philip ap Llywelyn ab Ifor of Sain Pyr,,1,0,Q110622448; Q110622448,2
Q142864,Gwilym ap Philip ap Llywelyn of Bedwelty,,1,0,Q116812535; Q116812535,2
Q142865,Dafydd ap Meurig ap Gwilym Sais ap MAdog,,1,0,Q122260611; Q122260611,2
Q142866,Meurig ab Ieuan ap Gwilym Sais of Gelligaer,,1,0,Q116812542; Q116812542,2
Q142867,Rhys ap Gwilym ap Hywel Grach ap Gwilym,,1,0,Q116812325; Q116812325,2
Q142868,Gwilym ap Llywelyn Ddû ap Gruffudd ap Rhys of Caeo,,1,0,Q112490266; Q112490266,2
Q142869,Ieuan ap Hywel ap Trahaearn Llwyd ap Thomas,,1,0,Q116812110; Q116812110,2
Q142870,Maud ferch Cadwallan,,2,0,Q99211918; Q99211918,2
Q142871,Dafydd ap Morgan ap Dafydd of Rhydodyn,,1,0,Q130358425; Q130358425,2
Q142872,Dafydd ap Gwilym ap Jenkin ab Adam of the Chapel,(1373 - after 1415),2,1,Q99084159; Q99084159,2
Q142873,Philip ap Jenkin ab Adam ap Cynhaethwy of Wernddu,,2,0,Q110347238; Q110347238,2
Q142874,John ap Gwilym ap Jenkin,- 1429,2,1,Q110347248; Q110347248,2
Q142875,Hywel ap Gwillim ap Jenkin,,2,0,Q116053028; Q116053028,2
Q142876,Gwenllian ferch Gwilym ap Jenkin,,2,0,Q110390613; Q110390613,2
Q142877,Jonet ferch Gwilym ap Jenkin ab Adam,,1,0,Q116469803; Q116469803,2
Q142878,Philip ab Adam 'Fychan',Peerage person ID=373170,2,1,Q75875763; Q75875763,2
Q142879,Rhys Ddû ab Archiagon,,1,0,Q110621974; Q110621974,2
Q14288,Kin'akira Sanjo,,8,1,Q20040418; Q20040418; Q20040418,3
Q142880,Thomas ap Philip ab Adam Fychan,1267,2,1,Q99084498; Q99084498,2
Q142881,NN verch Ieuan ap Gruffudd ab Iorwerth ab Ieuan,,2,0,Q99084516; Q99084516,2
Q142882,Jenkin Kemeys,,1,0,Q112963837; Q112963837,2
Q142883,"Lewys ap Dafydd Kemeys, of Cefn Mabli",,1,0,Q116812572; Q116812572,2
Q142884,Elfarch of Penrhos,,1,0,Q110622133; Q110622133,2
Q142885,Sir Lleision ap Morgan Fychan ap Morgan Gam ap Morgan de Avene,- 1328,2,2,Q110622181; Q110622181,2
Q142886,Margred ferch Edward Sully,,1,0,Q110622183; Q110622183,2
Q142887,Thomas de Barry,,1,0,Q110622186; Q110622186,2
Q142888,Jonet ferch Elidir ap Rhys ap Gronwy,,1,0,Q110622228; Q110622228,2
Q142889,Gwilym ap Jenkin Grant ap Gwrgi II ap Gwilym,,1,0,Q116469801; Q116469801,2
Q142890,Efa,1250 - est.,3,1,Q99080769; Q99080769,2
Q142891,Mawd verch Ieuan ap Rhys ab Ifor Gôch of Glangwy,1332 - 1424,3,2,Q99080704; Q99080704,2
Q142892,Efa ferch Ieuan ap Rhys ab Ifor Gôch,1350 -,1,1,Q116812177; Q116812177,2
Q142893,Lleucu ferch Ieuan ap Rhys ab Ifor,,1,0,Q130359127; Q130359127,2
Q142894,Gruffudd ap Rhys ap Hywel Hên ap Meurig,,1,0,Q116470805; Q116470805,2
Q142895,Thomas ap Gwilym ap Gwilym ap Madog,,1,0,Q130338159; Q130338159,2
Q142896,Adam Fychan ab Adam ap Cynhaethwy ab Aeddan,,2,0,Q110152872; Q110152872,2
Q142897,"Ieuan ap Seisyll ap Gwilym ab Aydan, Knight of the Sepulchre",,1,0,Q116469779; Q116469779,2
Q142898,Gilbert III Turberville,1200 - 1281,1,2,Q110622052; Q110622052,2
Q142899,Thomas ap Gwrgi ap Guyon ap Gwrgi,,1,0,Q110622003; Q110622003,2
Q142900,Isabel ferch John Delabere,,1,0,Q110622021; Q110622021,2
Q142901,"Cecily de Bryan, heiress of Worlton",,1,0,Q110621951; Q110621951,2
Q142902,"Thomas Button, of Worlton Manor",(est. 1387 - uncertain 1447),2,1,Q99211650; Q99211650,2
Q142903,"John|Jenkin Butler, of Dunraven",,1,0,Q130340885; Q130340885,2
Q142904,Sibyl ferch John ap Henry Kemeys,,1,0,Q116469828; Q116469828,2
Q142905,Grwgan ap Gwrgeneu Fychan ap Gwrgeneu ab Einion,1210 -,2,1,Q110560379; Q110560379,2
Q142906,Joan Button,(1410-1440),2,1,Q99211457; Q99211457,2
Q142907,"Hywel Button, of Worlton Manor",,1,0,Q110621946; Q110621946,2
Q142908,Gwenllian ferch Meurig ap Hywel Gâm ap Dafydd,,2,0,Q110390610; Q110390610,2
Q142909,"Ieuan ap Meurig ap Hywel Gâm ap Dafydd, lord of Penrhos-Ffwrdios",,1,0,Q116469596; Q116469596,2
Q142910,Joyce ferch John Scudamore,,1,0,Q116812636; Q116812636,2
Q142911,Philip ab Ieuan ap Hywel Gam ap Dafydd,,1,0,Q116812613; Q116812613,2
Q142912,NN ferch John ap Jenkin ap Madog,,1,0,Q112484715; Q112484715,2
Q142913,Dafydd Ddû ap Llywelyn ap Gwilym ap Jenkin,,1,0,Q131741063; Q131741063,2
Q142914,Morgan ap Dafydd Gôch,,1,0,Q110559711; Q110559711,2
Q142915,Rhys ap Dafydd Gôch ap Dafydd Ddû ap Llywelyn,,1,0,Q131741061; Q131741061,2
